model_scale	matrix_lr	beta1	beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size	num_heads
20	0.04	0.8	0.95	2	137.40506982803345	173.3769407272339	5694.5224609375	0.31043064231629386	28.901376	441	3.539012	4.067496326801804	65536	2
20	0.04	0.8	0.95	2	161.89815592765808	168.18519973754883	6716.7783203125	0.2634732928023659	28.901376	441	3.539076	4.263115197240458	65536	4
20	0.04	0.8	0.95	2	214.09668922424316	221.9858090877533	10652.01025390625	0.19924657737014287	28.901376	441	3.539204	4.513850274450868	65536	8
20	0.04	0.8	0.95	4	1134.5336182117462	1174.8091518878937	8298.44287109375	0.5259161481837134	104.923136	1601	11.534472	3.3386080551187285	65536	2
20	0.04	0.8	0.95	4	1282.0721347332	1293.383544921875	10345.841796875	0.465400991916869	104.923136	1601	11.5346	3.3667687939822297	65536	4
20	0.04	0.8	0.95	4	55.5769362449646	87.84067034721375	1980.072265625	10.55372667265364	105.119744	401	11.534472	3.421779188035386	262144	2
20	0.04	0.8	0.95	4	54.352495431900024	65.81499743461609	1981.34619140625	10.791625024268217	105.119744	401	11.5346	3.4388835696756477	262144	4
20	0.04	0.8	0.95	4	54.4058039188385	66.4861478805542	1987.14599609375	10.781343503576776	105.119744	401	11.534856	3.5669250991306054	262144	8
20	0.04	0.8	0.95	8	511.6944696903229	546.755047082901	6195.50537109375	31.975638131764082	587.464704	2241	50.33192	2.774465942396267	262144	2
20	0.04	0.8	0.95	8	489.21608209609985	509.4226586818695	6198.60009765625	33.4450329431285	587.464704	2241	50.332176	2.756130855693266	262144	4
20	0.04	0.8	0.95	8	494.979617357254	515.405365228653	6208.79345703125	33.055966303643174	587.464704	2241	50.332688	2.7744659922894037	262144	8
